Site_Name,Site_Long_Name,Site_Longitude,Site_Latitude,Thompson_Vs30,3D_CVM_Vs30,Z1.0,Z2.5
"USC","University of Southern California",-118.286,34.0192,336.39,295.7,580.0,4100.0
"PAS","Pasadena",-118.17119,34.148426,907.58,687.7,40.0,700.0
"LADT","Los Angeles Downtown",-118.25713,34.05204,348.97,334.2,310.0,2070.0
"LBP","Long Beach Port",-118.223,33.754944,226.2,209.5,770.0,2840.0
"WNGC","Whittier Narrows Golf Course",-118.0653,34.041824,292.48,264.5,500.0,3490.0
"SABD","Santa Ana Business District",-117.86778,33.754112,226.08,216.3,390.0,4440.0
"SBSM","San Bernardino Strong Motion",-117.29201,34.064986,274.45,255.9,400.0,1820.0
"FFI","Five-Fourteen Interchange",-118.50862,34.33603,349.68,308.7,280.0,3910.0
"CCP","Century City Plaza",-118.41302,34.054886,322.5,289.4,420.0,2960.0
"SMCA","Santa Monica Civic Auditorium",-118.48939,34.00909,372.04,319.2,590.0,2450.0
"PTWN","Pioneer Town",-116.49771,34.1428,710.11,634.5,70.0,1190.0
"PERR","Perris",-117.24904,33.80594,710.07,675.0,40.0,280.0
"GAVI","Gavilan",-117.39802,33.79844,709.93,655.2,50.0,410.0
"MBRD","Mockingbird",-117.37745,33.962,351.9,366.8,150.0,410.0
"PEDL","Pedley",-117.46292,33.99014,709.38,368.1,150.0,360.0
"LBUT","Lovejoy Buttes",-117.83157,34.59946,719.73,646.5,60.0,630.0
"ALIS","Aliso",-118.09137,34.41973,720.72,649.7,60.0,700.0
"PACI","Pacifico",-117.97474,34.34609,740.99,667.0,50.0,640.0
"SLVW","Silverwood Lake",-117.34775,34.29296,699.52,624.6,70.0,1360.0
"ALP","Antelope",-118.29946,34.68708,351.9,325.5,140.0,880.0
"OSI","Osito Audit: Castaic Lake Dam",-118.7235,34.6145,351.9,358.6,310.0,380.0
"PDE","Pardee",-118.58215,34.44199,351.82,333.9,310.0,1840.0
"MOP","Moorpark",-118.9049,34.28085,293.5,297.5,320.0,6140.0
"LGU","Laguna Peak",-119.06587,34.10819,384.53,393.1,310.0,2410.0
"WSS","West Side Station",-118.64971,34.1717,407.95,358.6,200.0,2430.0
